universe,horizon,topn,sample,family,n_dates,gross_delta,positive_date_rate
KOSDAQ,20,20,YTD_2026,REVISION,6,0.011677293519229255,0.8333333333333334
KOSDAQ,20,20,YTD_2026,VALUE,6,0.005445342153888113,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,BULL_2025,FLOW,49,0.005378337712373448,0.5306122448979592
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,BULL_2025,MOMENTUM,49,0.008981189576335839,0.5714285714285714
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,BULL_2025,REVISION,49,-0.0019325063243434075,0.5714285714285714
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,BULL_2025,VALUE,49,0.0012192923018606516,0.5714285714285714
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,EARLY_2016_2019,FLOW,196,0.0028307180031826493,0.5612244897959183
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,EARLY_2016_2019,MOMENTUM,196,0.002949542071209786,0.5663265306122449
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,EARLY_2016_2019,REVISION,196,0.0008104785047808779,0.5459183673469388
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,EARLY_2016_2019,VALUE,196,0.001066853364673464,0.5510204081632653
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,LATE_2020_2022,FLOW,149,0.0005148201470043295,0.5302013422818792
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,LATE_2020_2022,MOMENTUM,149,0.0002591043016111774,0.4966442953020134
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,LATE_2020_2022,REVISION,149,0.002341532124268304,0.5234899328859061
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,LATE_2020_2022,VALUE,149,0.0012101820158956105,0.5503355704697986
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,NORMAL_2023_2024,FLOW,97,-0.0016074407770239733,0.4329896907216495
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,NORMAL_2023_2024,MOMENTUM,97,0.0005887842853984883,0.5463917525773195
