date,universe,factor,family,horizon,topn,strategy,gross,turnover,sample
2016-01-04,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.01854736019039086,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,5,10,BASE,0.03200089452087191,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,5,10,CROSS_FAMILY_W20,-0.013703980333109161,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,5,20,BASE,0.017367836059472876,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,5,20,CROSS_FAMILY_W20,0.018942257915759812,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,5,10,BASE,0.028098868149098538,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,5,10,CROSS_FAMILY_W20,0.0044522899176165365,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,5,20,BASE,0.016273483194040962,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,5,20,CROSS_FAMILY_W20,0.02107494554400982,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,5,10,BASE,-0.013251460246196278,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.01715049298195396,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,5,20,BASE,-0.010052487084589364,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,5,20,CROSS_FAMILY_W20,-0.007123379888486119,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,5,10,BASE,0.0033669294661599126,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.004657125407506341,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,5,20,BASE,-0.010895051388859283,1.0,EARLY_2016_2019
2016-01-04,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,5,20,CROSS_FAMILY_W20,0.007565079844662474,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,5,10,BASE,0.005874469309742279,1.0,EARLY_2016_2019
