universe,horizon,topn,sample,metric,mean,ci025,ci975,p_gt0,n_dates
KOSDAQ,5,20,NORMAL_2023_2024,gross_delta,0.00023004221445556804,-0.0008803007528665004,0.0012612988302552017,0.67675,97
KOSDAQ,5,20,NORMAL_2023_2024,net_0,0.00023004221445556804,-0.0008363487031900545,0.0012281502201799898,0.675,97
KOSDAQ,5,20,NORMAL_2023_2024,net_30,0.0001451839670328877,-0.0009282637826423486,0.0012008494353766843,0.60575,97
KOSDAQ,5,20,NORMAL_2023_2024,net_60,6.032571961020718e-05,-0.0010142510904068086,0.0010843340315382195,0.55025,97
KOSDAQ,5,20,YTD_2026,gross_delta,0.0019398362977283636,-0.0015966915802626085,0.005411634056916532,0.8555,28
KOSDAQ,5,20,YTD_2026,net_0,0.0019398362977283636,-0.0015827957865107436,0.005425364266630926,0.8675,28
KOSDAQ,5,20,YTD_2026,net_30,0.0018253273691569347,-0.0017517415475560927,0.005188656767216022,0.84575,28
KOSDAQ,5,20,YTD_2026,net_60,0.0017108184405855065,-0.0017753898972520349,0.005102055880152298,0.828,28
KOSDAQ,10,10,BULL_2025,gross_delta,0.0022481687321244882,-0.0031540883031816757,0.0076888880487375345,0.7725,25
KOSDAQ,10,10,BULL_2025,net_0,0.0022481687321244882,-0.003037487976295427,0.007888320543731194,0.78325,25
KOSDAQ,10,10,BULL_2025,net_30,0.0020336687321244884,-0.0033335842446764177,0.007523089512365889,0.7665,25
KOSDAQ,10,10,BULL_2025,net_60,0.0018191687321244888,-0.0034328621362291604,0.007349721697438544,0.7385,25
KOSDAQ,10,10,EARLY_2016_2019,gross_delta,0.0009239260449149426,-0.0004234737465245295,0.00230489906559892,0.9105,98
KOSDAQ,10,10,EARLY_2016_2019,net_0,0.0009239260449149426,-0.00044527257903887753,0.0022537726304386737,0.907,98
KOSDAQ,10,10,EARLY_2016_2019,net_30,0.0008068342081802486,-0.0005194348060448579,0.0021984006046161407,0.8745,98
KOSDAQ,10,10,EARLY_2016_2019,net_60,0.0006897423714455549,-0.0006625034671859631,0.0020460938745959947,0.82875,98
KOSDAQ,10,10,LATE_2020_2022,gross_delta,0.0009876091219925014,-0.0023351712026151053,0.004240481874804224,0.7185,75
KOSDAQ,10,10,LATE_2020_2022,net_0,0.0009876091219925014,-0.0023672377980527358,0.004131797965573375,0.7215,75
KOSDAQ,10,10,LATE_2020_2022,net_30,0.0007961091219925011,-0.002544641504181109,0.003954719871222776,0.68425,75
KOSDAQ,10,10,LATE_2020_2022,net_60,0.0006046091219925013,-0.0026994078037118245,0.003801486123617986,0.64175,75
KOSDAQ,10,10,NORMAL_2023_2024,gross_delta,-0.0016678908047154644,-0.006247185330204233,0.0028167603905840262,0.229,48
KOSDAQ,10,10,NORMAL_2023_2024,net_0,-0.0016678908047154644,-0.005966890342418277,0.002739731501529644,0.2435,48
KOSDAQ,10,10,NORMAL_2023_2024,net_30,-0.0018717970547154645,-0.00611393655282285,0.002489507493558572,0.21025,48
KOSDAQ,10,10,NORMAL_2023_2024,net_60,-0.002075703304715465,-0.006576113219254573,0.002421192673646555,0.1865,48
KOSDAQ,10,10,YTD_2026,gross_delta,0.013007753291474465,0.0036199214851249965,0.01984271386898678,0.99325,13
KOSDAQ,10,10,YTD_2026,net_0,0.013007753291474465,0.004271155771387205,0.020126339451662582,0.9985,13
KOSDAQ,10,10,YTD_2026,net_30,0.012774099445320618,0.003601443566239472,0.019671170569145427,0.99625,13
KOSDAQ,10,10,YTD_2026,net_60,0.012540445599166773,0.0032828867001608755,0.019842625811812887,0.9945,13
KOSDAQ,10,20,BULL_2025,gross_delta,0.0004258316793954901,-0.0020394026486057373,0.0030806112209379793,0.60575,25
KOSDAQ,10,20,BULL_2025,net_0,0.0004258316793954901,-0.0019741418763964346,0.00309428983759706,0.60825,25
KOSDAQ,10,20,BULL_2025,net_30,0.0003260816793954903,-0.0021292320939558843,0.00293883710754135,0.57575,25
KOSDAQ,10,20,BULL_2025,net_60,0.0002263316793954903,-0.0021419556778287663,0.002897684126753634,0.559,25
KOSDAQ,10,20,EARLY_2016_2019,gross_delta,0.00042511091161576505,-0.0002505996180333098,0.001073507539102053,0.897,98
KOSDAQ,10,20,EARLY_2016_2019,net_0,0.00042511091161576505,-0.00023450029545875025,0.0010700997306970514,0.90125,98
KOSDAQ,10,20,EARLY_2016_2019,net_30,0.0003908634626361732,-0.0002934130972795457,0.001029929561901535,0.86725,98
KOSDAQ,10,20,EARLY_2016_2019,net_60,0.0003566160136565814,-0.0003326895150983162,0.0010120914800425714,0.85675,98
KOSDAQ,10,20,LATE_2020_2022,gross_delta,0.0006616980117050663,-0.0010077394263117217,0.0023630925837340366,0.77775,75
KOSDAQ,10,20,LATE_2020_2022,net_0,0.0006616980117050663,-0.00105165479087505,0.0024193864154403856,0.76725,75
KOSDAQ,10,20,LATE_2020_2022,net_30,0.0005684480117050664,-0.0011168653311337466,0.002328222708091733,0.74225,75
KOSDAQ,10,20,LATE_2020_2022,net_60,0.00047519801170506636,-0.001258550112904742,0.0022585518538487206,0.69825,75
KOSDAQ,10,20,NORMAL_2023_2024,gross_delta,0.0004842006387000277,-0.0015658559336859368,0.0025080053353429776,0.67225,48
KOSDAQ,10,20,NORMAL_2023_2024,net_0,0.0004842006387000277,-0.0015079774110740172,0.0025279137657743195,0.662,48
KOSDAQ,10,20,NORMAL_2023_2024,net_30,0.00037873188870002784,-0.0016515206909286466,0.0023896896537107626,0.63575,48
KOSDAQ,10,20,NORMAL_2023_2024,net_60,0.00027326313870002774,-0.0017338112353271079,0.002230573524714128,0.59475,48
KOSDAQ,10,20,YTD_2026,gross_delta,0.0054127858391999845,-0.003998607796211132,0.014176715719022228,0.86675,13
KOSDAQ,10,20,YTD_2026,net_0,0.0054127858391999845,-0.00377232982508676,0.013823540548377622,0.87275,13
KOSDAQ,10,20,YTD_2026,net_30,0.005255574300738446,-0.004036071891240679,0.013810452337940794,0.86125,13
KOSDAQ,10,20,YTD_2026,net_60,0.005098362762276908,-0.004275750045691252,0.013705367972873025,0.8545,13
KOSDAQ,20,10,BULL_2025,gross_delta,0.015415899065764183,0.0034601237549768227,0.027927143708283805,0.997,12
KOSDAQ,20,10,BULL_2025,net_0,0.015415899065764183,0.0031822693936506175,0.027483734060163915,0.9965,12
KOSDAQ,20,10,BULL_2025,net_30,0.015172149065764183,0.0031674142908779024,0.027226895719949296,0.9975,12
KOSDAQ,20,10,BULL_2025,net_60,0.01492839906576418,0.0023143622182385843,0.02695502071994929,0.99575,12
KOSDAQ,20,10,EARLY_2016_2019,gross_delta,-0.0003421441684865255,-0.0028371812396195467,0.002138064836083092,0.3965,49
KOSDAQ,20,10,EARLY_2016_2019,net_0,-0.0003421441684865255,-0.0028683294713487397,0.0020901300481437133,0.4,49
KOSDAQ,20,10,EARLY_2016_2019,net_30,-0.0004561747807314239,-0.003000047250400289,0.0018622410533873036,0.3625,49
KOSDAQ,20,10,EARLY_2016_2019,net_60,-0.0005702053929763216,-0.0030230254324832024,0.0019116694298262071,0.3195,49
KOSDAQ,20,10,LATE_2020_2022,gross_delta,0.0018569940277215913,-0.003769658696351823,0.007654694111032389,0.7355,38
KOSDAQ,20,10,LATE_2020_2022,net_0,0.0018569940277215913,-0.0036149821846331773,0.007469074072639781,0.73675,38
KOSDAQ,20,10,LATE_2020_2022,net_30,0.0016359413961426431,-0.0038178267725897277,0.0071801729083630006,0.71275,38
KOSDAQ,20,10,LATE_2020_2022,net_60,0.0014148887645636958,-0.004142458401427645,0.006850235449112419,0.68525,38
KOSDAQ,20,10,NORMAL_2023_2024,gross_delta,0.0017426952277667818,-0.00530661742123899,0.00962235581092507,0.6605,24
KOSDAQ,20,10,NORMAL_2023_2024,net_0,0.0017426952277667818,-0.005281846251494949,0.009772548596355483,0.659,24
KOSDAQ,20,10,NORMAL_2023_2024,net_30,0.0014942577277667834,-0.005601905598228133,0.009513058343524727,0.64475,24
KOSDAQ,20,10,NORMAL_2023_2024,net_60,0.0012458202277667826,-0.0054783959919937515,0.009097636754067957,0.6055,24
KOSDAQ,20,20,BULL_2025,gross_delta,0.0025793644451458228,-0.007414256673211482,0.010144016370522911,0.7565,12
KOSDAQ,20,20,BULL_2025,net_0,0.0025793644451458228,-0.007477733240747834,0.010198837202443705,0.731,12
KOSDAQ,20,20,BULL_2025,net_30,0.0024715519451458216,-0.007512629068915678,0.010056649702443706,0.72575,12
KOSDAQ,20,20,BULL_2025,net_60,0.002363739445145822,-0.0076683582407478315,0.009922141370522915,0.7125,12
KOSDAQ,20,20,EARLY_2016_2019,gross_delta,0.0002306257374751382,-0.0012381547937876797,0.0016765140138244106,0.62175,49
KOSDAQ,20,20,EARLY_2016_2019,net_0,0.0002306257374751382,-0.0011680449390878273,0.0017104331411644683,0.61775,49
KOSDAQ,20,20,EARLY_2016_2019,net_30,0.00019044716604656685,-0.0012149913800388584,0.0016525398044207377,0.59625,49
KOSDAQ,20,20,EARLY_2016_2019,net_60,0.00015026859461799547,-0.0012918319394538726,0.0015075451989049805,0.55875,49
KOSDAQ,20,20,LATE_2020_2022,gross_delta,-8.203590477164128e-05,-0.0030416110160191505,0.0029603902551765065,0.4675,38
KOSDAQ,20,20,LATE_2020_2022,net_0,-8.203590477164128e-05,-0.0029959354275933213,0.002934387222698992,0.45725,38
KOSDAQ,20,20,LATE_2020_2022,net_30,-0.00017381222056111546,-0.003032487789054448,0.0028573870032103208,0.44675,38
KOSDAQ,20,20,LATE_2020_2022,net_60,-0.00026558853635058887,-0.00322406838108126,0.0026678466297283343,0.42475,38
KOSDAQ,20,20,NORMAL_2023_2024,gross_delta,0.002417535936622079,-0.0005198735069523817,0.005715203183683931,0.94,24
KOSDAQ,20,20,NORMAL_2023_2024,net_0,0.002417535936622079,-0.00046150694285583907,0.005739979097554604,0.9485,24
KOSDAQ,20,20,NORMAL_2023_2024,net_30,0.0023214421866220793,-0.0004163188986032649,0.005603426643088828,0.94525,24
