universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight,median_missing_return_weight
KOSDAQ,CF20,EARLY_2016_2019,60,10,-0.025809016810818264,-0.021644533814107258,-0.04489409232645136,-0.3559735760124353,-0.37830629359671386,-0.019105007397985662,-0.1105184447913071,8.827214663790134,81.93229166666667,0.036848958333333334,0.0
KOSDAQ,CF20,FULL_2016_2026,0,10,0.09879207538358825,0.10081991580945726,0.08155147956851927,-0.46763337430359747,-0.4961872619011498,0.47580102375397365,0.41940162881903004,9.744787749562878,90.87790697674419,0.033672480620155036,0.0
KOSDAQ,CF20,FULL_2016_2026,30,10,0.06719545874268262,0.0690934743060921,0.05031926491649874,-0.49175938382496354,-0.5209496744727733,0.37218322031153855,0.31552119916842225,9.744787749562878,90.87790697674419,0.033672480620155036,0.0
KOSDAQ,CF20,FULL_2016_2026,60,10,0.036471366760973845,0.03824512228147732,0.019953078587320316,-0.5148158316918994,-0.5445199798019675,0.2683900937078506,0.2116795460220112,9.744787749562878,90.87790697674419,0.033672480620155036,0.0
KOSDAQ,CF20,LATE_2020_2022,0,10,0.05685783954551593,0.05332698104878564,0.028106522662854738,-0.40234861441928915,-0.4178069960448272,0.3352627825677721,0.2414895049229387,10.295000552618543,94.78378378378378,0.032885135135135135,0.0
KOSDAQ,CF20,LATE_2020_2022,30,10,0.024571452655992143,0.021333668648586247,-0.0027415444466852845,-0.40831710366549495,-0.42076889648612914,0.2301489884226639,0.13785355957778667,10.295000552618543,94.78378378378378,0.032885135135135135,0.0
KOSDAQ,CF20,LATE_2020_2022,60,10,-0.0067669715874275616,-0.009725777636328236,-0.03270032141243362,-0.41699275212437775,-0.43292498651598843,0.12511521874058,0.03420314874111824,10.295000552618543,94.78378378378378,0.032885135135135135,0.0
KOSDAQ,CF20,NORMAL_2023_2024,0,10,0.06937894233745678,0.059579345741244974,0.004224848556652505,-0.336054611040323,-0.36376563369844805,0.39417158695981636,0.14283149212309162,10.07509277088808,97.65943877551021,0.0305484693877551,0.0
KOSDAQ,CF20,NORMAL_2023_2024,30,10,0.03724995259392283,0.02796834110866899,-0.02600028956373568,-0.3447416974823013,-0.372722549534111,0.2724162764387183,0.02042087074615635,10.07509277088808,97.65943877551021,0.0305484693877551,0.0
KOSDAQ,CF20,NORMAL_2023_2024,60,10,0.006048768952968242,-0.0027363414940848154,-0.05535105386010453,-0.3533247428822604,-0.38156386549216037,0.15059230658983563,-0.10182560010970172,10.07509277088808,97.65943877551021,0.0305484693877551,0.0
KOSDAQ,CF20,PRE_STRESS_2016_2024,0,10,0.04437058518908665,0.04506381195824436,0.020186949618895556,-0.46763337430359747,-0.4961872619011498,0.29903724240975466,0.20548155463346965,9.601709892475307,89.75570776255708,0.034140073682025734,0.0
KOSDAQ,CF20,PRE_STRESS_2016_2024,30,10,0.014686281741272844,0.015374502355193952,-0.00888611399764394,-0.49175938382496354,-0.5209496744727733,0.18428918903820887,0.08966220128617684,9.601709892475307,89.75570776255708,0.034140073682025734,0.0
KOSDAQ,CF20,PRE_STRESS_2016_2024,60,10,-0.014187848142720949,-0.013504903258746804,-0.03716348848600548,-0.5148158316918994,-0.5445199798019675,0.06945404921203592,-0.02610546576273324,9.601709892475307,89.75570776255708,0.034140073682025734,0.0
KOSDAQ,CF20,YTD_2026,0,10,0.10940399553556046,0.09562577926151715,-0.07755293744622949,-0.4447542728470027,-0.4630600012480559,0.4717670011914227,0.17118598477029823,11.10449380775534,99.93333333333334,0.028541666666666667,0.0
KOSDAQ,CF20,YTD_2026,30,10,0.0735938989606515,0.06004596686932474,-0.10815632596878566,-0.44816370528899363,-0.46637486569698305,0.41761679676364727,0.11659741595470004,11.10449380775534,99.93333333333334,0.028541666666666667,0.0
KOSDAQ,CF20,YTD_2026,60,10,0.03889577988823534,0.025577437671902615,-0.1377834052398329,-0.45155641313362466,-0.46967344637419106,0.363414142511453,0.062132639480267225,11.10449380775534,99.93333333333334,0.028541666666666667,0.0
KOSDAQ,TURNOVER20_LOW30,BULL_2025,0,10,0.7685816739826117,0.8033331206381822,0.7258372864670899,-0.16508769758165415,-0.1760537964673491,2.454075610193434,2.3789133533327718,10.436168423762666,93.04166666666666,0.033854166666666664,0.0
KOSDAQ,TURNOVER20_LOW30,BULL_2025,30,10,0.7131760314580587,0.7472063599647305,0.6726015368436384,-0.1681597393210731,-0.18048134728585596,2.3227115053891687,2.2507292605577547,10.436168423762666,93.04166666666666,0.033854166666666664,0.0
KOSDAQ,TURNOVER20_LOW30,BULL_2025,60,10,0.6594383406496229,0.6927594545120368,0.620943611305609,-0.17122424780645162,-0.18489104452768057,2.1929334693751277,2.113958787301493,10.436168423762666,93.04166666666666,0.033854166666666664,0.0
KOSDAQ,TURNOVER20_LOW30,EARLY_2016_2019,0,10,0.043833300760477534,0.04787242450950417,0.017067314842462267,-0.33044416251454073,-0.34835778270740736,0.30328507958651474,0.1880292548926461,8.912015609900703,74.390625,0.039160156249999994,0.0
KOSDAQ,TURNOVER20_LOW30,EARLY_2016_2019,30,10,0.01625501687378983,0.020242315005869548,-0.009818413300316853,-0.34300444767073535,-0.3709970691729604,0.18452803819545868,0.0688477986916425,8.912015609900703,74.390625,0.039160156249999994,0.0
