universe,cost_bps,period,n_rebalances,crash_cap_cagr,crash_cap_sharpe,crash_cap_mdd,persist_only_cagr,persist_only_sharpe,persist_only_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,top2_mdd,delta_sharpe_vs_persist,delta_cagr_vs_persist,delta_mdd_vs_persist,delta_sharpe_vs_ew8,delta_cagr_vs_ew8,delta_mdd_vs_ew8,cap_trigger_share,persist_top2_share,annual_cap_turnover
KOSPI_EX_K200,0,CONFIRM_2023_2024,25,0.033510035568641516,0.3334756267072204,-0.07964057474046715,0.02408500877538433,0.2573832284035971,-0.10317875764302264,0.04150157101952545,0.49129305351427915,-0.07632756727463941,0.07968925517936953,0.5836453263890231,-0.09371326742570829,0.0760923983036233,0.009425026793257185,0.023538182902555493,-0.15781742680705874,-0.007991535450883935,-0.003313007465827744,0.08,0.4,6.930000000000001
KOSPI_KOSDAQ_ALL,0,CONFIRM_2023_2024,24,0.06881034912022477,0.7916278722734625,-0.05059685757203647,0.07392825906656597,0.8312471360306483,-0.05059685757203647,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.10313645130640103,0.5894283115312887,-0.15149119459434768,-0.03961926375718572,-0.005117909946341204,0.0,-0.5446295932799682,-0.01705255425033214,0.004327163251743982,0.041666666666666664,0.3333333333333333,8.399999999999999
K200,0,BULL_2025,12,0.30255737148872286,1.7697157736530311,-0.06198041966511092,0.26654076102043556,1.5739102804172895,-0.06198041966511114,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.0037649395725156687,0.09821458775468897,-0.18812263661914563,0.1958054932357416,0.0360166104682873,2.220446049250313e-16,-0.2219360506355188,0.058268753964591635,1.1102230246251565e-16,0.08333333333333333,0.25,7.3500000000000005
KOSDAQ,0,BULL_2025,12,0.00683468514143426,0.11419810142958023,-0.06260759656202719,0.0030458343197410365,0.07720064928001945,-0.06260759656202719,0.11958291186537218,1.2571306378429388,-0.04204034533001999,0.034691462586339705,0.2946934680482536,-0.08627223515022087,0.03699745214956078,0.0037888508216932237,0.0,-1.1429325364133585,-0.11274822672393792,-0.0205672512320072,0.08333333333333333,0.25,8.137500000000001
KOSDAQ_PLUS_KOSPI_EX_K200,0,BULL_2025,12,0.01627248618951005,0.18916994847269403,-0.09470907425682995,0.01627248618951005,0.18916994847269403,-0.09470907425682995,0.12347214370878823,1.476147799073752,-0.024328852993387606,0.1997184974581323,1.8106164059199106,-0.021258898256490966,0.0,0.0,0.0,-1.2869778506010578,-0.10719965751927818,-0.07038022126344234,0.0,0.4166666666666667,7.875
KOSPI_ALL,0,BULL_2025,12,0.20288423288349722,1.4939618994724317,-0.07667359543830987,0.20288423288349722,1.4939618994724317,-0.07667359543830987,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-0.059475029630645215,-0.3246397764942533,-0.17094961476452508,0.0,0.0,0.0,-0.6413468021321655,0.012461859162028688,-0.030857714801755032,0.0,0.16666666666666666,9.1875
KOSPI_EX_K200,0,BULL_2025,12,0.2534163995751726,2.3818386796002966,-0.017781251338487625,0.24349901032462284,2.23959909809904,-0.02518416939724344,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.1260002993185172,0.9133717810354915,-0.06616542821680471,0.14223958150125648,0.009917389250549746,0.007402918058755814,0.46767276840918703,0.13552158532093994,0.004018947441886134,0.08333333333333333,0.3333333333333333,7.3500000000000005
KOSPI_KOSDAQ_ALL,0,BULL_2025,12,0.1317794775022565,1.259597511242903,-0.0491054467787182,0.1317794775022565,1.259597511242903,-0.0491054467787182,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.09802319551479077,0.6600874063072499,-0.11409696894630039,0.0,0.0,0.0,-0.7632101497951265,-0.042807633899308195,-0.013654028082597747,0.0,0.08333333333333333,9.1875
K200,0,YTD_2026,4,0.6199522734221767,2.1611108370648187,-0.03157359802709592,0.6199522734221767,2.1611108370648187,-0.03157359802709592,0.44758800968263035,3.218589932676514,0.0,0.0555229707229945,0.3154131212453638,-0.04511875425348233,0.0,0.0,0.0,-1.0574790956116953,0.1723642637395464,-0.03157359802709592,0.0,0.25,11.8125
KOSDAQ,0,YTD_2026,4,0.434471249249065,2.0596587669566953,-0.00645294469286295,0.434471249249065,2.0596587669566953,-0.00645294469286295,0.35271358515920936,2.8047603829741363,-0.01114308345845183,0.7624693691352455,2.663934884619375,-0.0196825548834364,0.0,0.0,0.0,-0.7451016160174411,0.08175766408985563,0.00469013876558888,0.0,0.25,10.237499999999999
KOSDAQ_PLUS_KOSPI_EX_K200,0,YTD_2026,4,0.3353968937594656,4.228746196585604,0.0,0.3353968937594656,4.228746196585604,0.0,0.2828730582623422,2.96081382296115,-0.008290406828556196,0.6805392344320684,3.0568680153054153,-0.008278020805803532,0.0,0.0,0.0,1.267932373624454,0.05252383549712336,0.008290406828556196,0.0,0.0,7.0874999999999995
