era,universe,feature,n_dates,mean_primary_partial_ic,median_primary_partial_ic,mean_continuation_partial_ic,mean_top4_quality_spread_raw5,mean_top4_quality_spread_cont5
2025,KOSPI_ALL,LIQUIDITY_SUPPORT20,49,0.11606998663412367,0.18722892337486574,0.07725646042608132,0.0021504950500487083,0.0023511704171400934
2025,KOSPI_ALL,WITHIN_ALIGNMENT,49,-0.06999635277740057,-0.06457843034233977,-0.046113371629526105,-0.005076733137292847,-0.004867488469353445
2025,KOSPI_EX_K200,BREADTH_ALIGNMENT,49,-0.07984643322068516,-0.024217973984824167,-0.07223895547663674,-0.004310241900839018,-0.0035400271800747002
2025,KOSPI_EX_K200,BROAD_CONTRIBUTION,49,-0.06924082426197917,-0.10450575958724122,-0.06821772517722186,-0.0025387881042831023,-0.004530335696656466
2025,KOSPI_EX_K200,LIQUIDITY_SUPPORT20,49,-0.010467410181107533,0.003980306399858619,-0.06020458336902965,0.0036790608498116126,0.0014731843607792125
2025,KOSPI_EX_K200,WITHIN_ALIGNMENT,49,-0.03651232718774861,-0.01799294670791106,-0.040762045669159475,-0.004376585310364236,-0.0041260840769882685
2025,KOSPI_KOSDAQ_ALL,BREADTH_ALIGNMENT,49,-0.08742545317600167,-0.1234684528781456,-0.07915826433823671,-0.002799955369240185,-0.00466169220626843
2025,KOSPI_KOSDAQ_ALL,BROAD_CONTRIBUTION,49,-0.1348303287162065,-0.1868921151136466,-0.10480161554295606,-0.0015219052462460089,-0.0007885865769839111
2025,KOSPI_KOSDAQ_ALL,LIQUIDITY_SUPPORT20,49,0.06617536808492966,0.150281896183675,-0.012995637846329313,-0.0027376319115808537,-0.002650963492522483
2025,KOSPI_KOSDAQ_ALL,WITHIN_ALIGNMENT,49,-0.03774243946185496,0.018951625975687045,0.013159590190942424,0.0012386593529537602,0.00035431173194655215
2026,K200,BREADTH_ALIGNMENT,28,0.1844674296933763,0.23890506588573163,0.13818132617835804,0.005349902221911123,0.006878808604356938
2026,K200,BROAD_CONTRIBUTION,28,0.031256583511023776,0.004488379438250714,0.08647718070226208,0.005685705305337401,0.005814106842519144
2026,K200,LIQUIDITY_SUPPORT20,28,-0.024900772624558403,0.04352405260536657,0.007987867917553194,-0.003292980771828329,-0.0031645792346465863
2026,K200,WITHIN_ALIGNMENT,28,-0.057867409083397346,-0.05391611205748022,0.017943074915649882,-0.008193175780756932,-0.009722082163202748
2026,KOSDAQ,BREADTH_ALIGNMENT,28,0.0363776561768813,0.12438715249884269,0.0020457382332181783,0.01711585961958221,0.01640614379405305
2026,KOSDAQ,BROAD_CONTRIBUTION,28,0.05761754472511877,0.056049143592933934,0.07759151602686144,-0.0017446038999309633,0.00019513615121521176
2026,KOSDAQ,LIQUIDITY_SUPPORT20,28,-0.16378855269813625,-0.2248287908806705,-0.07489363255004136,0.000107474300634593,-0.0006022415248945676
2026,KOSDAQ,WITHIN_ALIGNMENT,28,-0.06334090197656139,-0.1574077695970532,-0.10593798028224295,-0.005225738355248464,-0.0032859983041022894
2026,KOSDAQ_PLUS_KOSPI_EX_K200,BREADTH_ALIGNMENT,28,0.059006455897658565,-0.032463907723142296,0.05470051498455271,0.00594461641126993,0.008007571915841226
2026,KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_CONTRIBUTION,28,0.10397336488971873,0.15821552784905574,0.16975498044575119,0.0035261832517911773,0.0018992241825424307
2026,KOSDAQ_PLUS_KOSPI_EX_K200,LIQUIDITY_SUPPORT20,28,0.028987007081220883,0.005745798125963496,0.007479168886540586,0.001746850531869687,0.00011989146262094076
2026,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN_ALIGNMENT,28,0.10388306479009718,0.09179045210953514,-0.06469469261114154,-0.0007091317917435517,-0.0014011178377822836
2026,KOSPI_ALL,BREADTH_ALIGNMENT,28,0.07928719693428916,-0.09244840334105085,0.055986623569539866,0.006237480312609315,0.006599044774558309
2026,KOSPI_ALL,BROAD_CONTRIBUTION,28,0.10612311973476064,0.19064041823433298,0.09135571677276792,0.004186902098443138,0.004386489089621681
2026,KOSPI_ALL,LIQUIDITY_SUPPORT20,28,-0.1180142715181244,-0.13029897252579944,-0.03579112526376086,-0.0023010216897286517,-0.0019394572277796587
2026,KOSPI_ALL,WITHIN_ALIGNMENT,28,-0.07386115945366041,-0.12793567762384342,-0.09784401180781369,-0.0042540666462375625,-0.0038925021842885696
2026,KOSPI_EX_K200,BREADTH_ALIGNMENT,28,0.14213710235572316,0.04575396819442368,0.052673381101652574,0.009157139522984201,0.012839607504131342
2026,KOSPI_EX_K200,BROAD_CONTRIBUTION,28,-0.014672237507273126,-0.05634648162989931,0.08740335657060475,0.0024667828482879722,0.001908976277345308
2026,KOSPI_EX_K200,LIQUIDITY_SUPPORT20,28,-0.0429501079424334,0.004508727509675518,-0.06960543481710504,-0.003641332015467549,0.0016911795288472432
2026,KOSPI_EX_K200,WITHIN_ALIGNMENT,28,0.03456503763130752,0.08295793945633667,-0.04468683831057858,0.0023147596268733666,-0.0005473809021426041
2026,KOSPI_KOSDAQ_ALL,BREADTH_ALIGNMENT,28,0.08058964445596317,0.004300185225775627,0.097100341790483,0.0006861863340027955,0.0006861863340027955
