universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,calmar,benchmark_cagr,benchmark_mdd,benchmark_sharpe,geometric_excess_cagr,tracking_error,information_ratio,relative_mdd,beta,jensen_alpha_annual,corr,annual_turnover,avg_missing_weight
KOSDAQ,WEIGHTED_MOM,8,FULL_2017_2026,60,2345,-0.058950642834350586,-0.7750489032534572,0.058063885038632065,-0.07606054609830536,0.03029868031202998,-0.537920203189262,0.24673980897333964,-0.08662470878769968,0.28100366107262503,-0.15663592690638894,-0.7117892242285775,1.0946438979920559,-0.05044007209605832,0.7326190687259263,11.989832053356198,0.0
KOSDAQ,WEIGHTED_MOM,8,PRE_STRESS_2017_2024,0,1956,-0.028953009754439263,-0.6981294867366794,0.10331972781559318,-0.041472263103763965,0.014329671207725214,-0.537920203189262,0.18113491721432196,-0.04267121646025496,0.26015125760744445,-0.02445739803689482,-0.5639135419141275,1.058066166934643,-0.008929482476985232,0.7049943189025714,11.92128743795847,0.0
KOSDAQ,WEIGHTED_MOM,8,PRE_STRESS_2017_2024,30,1956,-0.06309265202301007,-0.7299347864427363,0.005796087738349523,-0.08643601208607381,0.014329671207725214,-0.537920203189262,0.18113491721432196,-0.0763285600612984,0.26036825312130335,-0.16162484245057146,-0.5961501772511446,1.0580158704515978,-0.04464661411498141,0.7046799492095447,11.92128743795847,0.0
KOSDAQ,WEIGHTED_MOM,8,PRE_STRESS_2017_2024,60,1956,-0.09608022274919314,-0.7584304905126386,-0.09161718233358575,-0.1266829642941314,0.014329671207725214,-0.537920203189262,0.18113491721432196,-0.1088501077026145,0.26076912747410086,-0.2983533122813595,-0.6438402992724109,1.0579655739685527,-0.08036374575297738,0.7041145637313166,11.92128743795847,0.0
KOSDAQ,WEIGHTED_MOM,8,EARLY_2017_2019,0,725,0.08276220870954809,-0.4760584367694134,0.4072194847334906,0.17384884358143474,0.02657219658615606,-0.3993191410301158,0.2310106989762129,0.05473556785411815,0.2237121372471252,0.37958647542056,-0.31602667104395876,1.1600488106802544,0.07734133399245534,0.7319489385298144,11.595966505013918,0.0
KOSDAQ,WEIGHTED_MOM,8,EARLY_2017_2019,30,725,0.04571608867516974,-0.48572029832694985,0.3000547619759583,0.09412019393185243,0.02657219658615606,-0.3993191410301158,0.2310106989762129,0.01864836409234205,0.22426113556767863,0.22399855645015623,-0.33773359339136555,1.160253692668391,0.04264770375477057,0.7311667873354807,11.595966505013918,0.0
KOSDAQ,WEIGHTED_MOM,8,EARLY_2017_2019,60,725,0.009885716998618621,-0.4952180448508873,0.19307285482239384,0.019962352142469407,0.02657219658615606,-0.3993191410301158,0.2310106989762129,-0.016254560218003866,0.22501387552724347,0.06910791411059683,-0.3587832549095725,1.1604585746565266,0.007954073517086402,0.7300701266183112,11.595966505013918,0.0
KOSDAQ,WEIGHTED_MOM,8,LATE_2020_2022,0,742,-0.08290263406303233,-0.6120164627917853,-0.034548283316952214,-0.13545817654130116,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.09284045279616471,0.276370644641073,-0.2265938231211627,-0.4661971743541736,0.957715401967955,-0.06053495394368484,0.6924381781933687,12.071074957653682,0.0
KOSDAQ,WEIGHTED_MOM,8,LATE_2020_2022,30,742,-0.11554349051546187,-0.6279413300234681,-0.12912444942298248,-0.18400364013488912,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.12512760752970697,0.27640483238114405,-0.3575332801038245,-0.4873957666945391,0.9577458269089322,-0.09673650237470877,0.6924044983760131,12.071074957653682,0.0
KOSDAQ,WEIGHTED_MOM,8,LATE_2020_2022,60,742,-0.147068898173896,-0.6432365385709669,-0.22361085737620504,-0.2286389055270843,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.15631140065686666,0.27661570095572063,-0.4881283718941523,-0.5083681947345169,0.9577762518499094,-0.13293805080573284,0.6921400685186759,12.071074957653682,0.0
KOSDAQ,WEIGHTED_MOM,8,NORMAL_2023_2024,0,489,-0.09886105017167623,-0.5334852694374512,-0.06193241256693069,-0.18531167744504565,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.10020947024177063,0.28429319454418495,-0.19813061971657145,-0.3937573826869719,1.1465282736664826,-0.06096836853043215,0.7057339527074228,12.17632902644713,0.0
KOSDAQ,WEIGHTED_MOM,8,NORMAL_2023_2024,30,489,-0.1312085836927981,-0.5600977149412381,-0.1536897365783674,-0.23426016602578653,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.1325086005023015,0.2843936995349914,-0.3264920731757338,-0.4082521875536852,1.1460560971630551,-0.0974785144093453,0.7054422836902794,12.17632902644713,0.0
