universe,period,phase,n_dates,mean_ic,mean_top20_10d,mean_bottom20_10d,mean_top_minus_bottom_10d,top_minus_bottom_positive_rate
KOSDAQ,BULL_2025,1,24,-0.028287643652266898,0.02609375902527235,0.010449403039982272,0.01564435598529008,0.625
KOSDAQ,BULL_2025,2,24,-0.01534515684179828,0.03031237676087215,0.0036834555652350584,0.0266289211956371,0.6666666666666666
KOSDAQ,BULL_2025,3,24,-0.009977564318143355,0.02794998306571835,0.0018289608448948957,0.026121022220823454,0.6666666666666666
KOSDAQ,BULL_2025,4,25,-0.030435497285457105,0.020943227247874337,0.01353746458789666,0.007405762659977677,0.52
KOSDAQ,BULL_2025,5,25,-0.02833833764199576,0.018006561181736797,0.00851493788048291,0.009491623301253886,0.52
KOSDAQ,BULL_2025,6,24,-0.04430936292801749,0.01718396296222102,0.0046007392008771035,0.012583223761343914,0.5
KOSDAQ,BULL_2025,7,24,-0.04136107674183478,0.018618233205360397,0.01013744909507222,0.008480784110288174,0.5
KOSDAQ,BULL_2025,8,24,-0.037130587401913086,0.023862354560801834,0.012201878138548486,0.011660476422253346,0.5416666666666666
KOSDAQ,BULL_2025,9,24,-0.03165024545046192,0.029871379896162106,0.01966224222386677,0.01020913767229534,0.5833333333333334
KOSDAQ,YTD_2026,0,14,-0.023441616236584563,0.00831921293747334,-0.01431766839545481,0.02263688133292816,0.5
KOSDAQ,YTD_2026,1,14,-0.025227736138491424,0.0037246068154618973,-0.008823581529645106,0.012548188345106999,0.5
KOSDAQ,YTD_2026,2,14,-0.05066948391159465,-0.009052010585689546,-0.01043225538986739,0.001380244804177842,0.42857142857142855
KOSDAQ,YTD_2026,3,13,-0.029415073588653386,-0.0063857860982566485,-0.014292292002104946,0.007906505903848286,0.46153846153846156
KOSDAQ,YTD_2026,4,13,-0.010741892525799775,-0.01953626239960641,-0.021352443989759756,0.0018161815901533535,0.38461538461538464
KOSDAQ,YTD_2026,5,13,-0.012725363066021178,-0.010762867626468688,-0.026078991095653165,0.015316123469184475,0.5384615384615384
KOSDAQ,YTD_2026,6,14,-0.02251800848311175,-0.01267356282128111,-0.02757933612609906,0.014905773304817954,0.7142857142857143
KOSDAQ,YTD_2026,7,14,-0.012338900608301562,-0.006880435862603194,-0.03314866606862959,0.026268230206026387,0.6428571428571429
