"Code","Name","ALL","KOSPI","KOSPI200","KOSPI-삼닉"
"A014530","극동유화","1","1","0","1"
"A014570","고려제약","1","0","0","0"
"A014580","태경비케이","1","1","0","1"
"A014620","성광벤드","1","0","0","0"
"A014680","한솔케미칼","1","1","1","1"
"A014710","사조씨푸드","1","1","0","1"
"A014790","HL D&I","1","1","0","1"
"A014820","동원시스템즈","1","1","1","1"
"A014830","유니드","1","1","0","1"
"A014910","성문전자","1","1","0","1"
"A014940","오리엔탈정공","1","0","0","0"
"A014950","삼익제약","1","0","0","0"
"A014970","삼륭물산","1","0","0","0"
"A014990","인디에프","1","1","0","1"
"A015020","이스타코","1","1","0","1"
"A015230","대창단조","1","1","0","1"
"A015260","에이엔피","1","1","0","1"
"A015360","INVENI","1","1","0","1"
"A015590","DKME","1","1","0","1"
"A015710","코콤","1","0","0","0"
"A015750","성우하이텍","1","0","0","0"
"A015760","한국전력","1","1","1","1"
"A015860","일진홀딩스","1","1","0","1"
"A015890","태경산업","1","1","0","1"
"A016090","대현","1","1","0","1"
"A016100","리더스코스메틱","1","0","0","0"
"A016250","SGC E&C","1","0","0","0"
"A016360","삼성증권","1","1","1","1"
"A016380","KG스틸","1","1","1","1"
"A016450","한세예스24홀딩스","1","1","0","1"
"A016580","환인제약","1","1","0","1"
"A016590","신대양제지","1","1","0","1"
"A016600","큐캐피탈","1","0","0","0"
"A016610","DB증권","1","1","0","1"
"A016670","디모아","1","0","0","0"
"A016710","대성홀딩스","1","1","0","1"
"A016740","두올","1","1","0","1"
"A016790","현대사료","1","0","0","0"
"A016800","퍼시스","1","1","0","1"
"A016880","웅진","1","1","0","1"
"A016920","카스","1","0","0","0"
"A017000","신원종합개발","1","0","0","0"
"A017040","광명전기","1","1","0","1"
"A017180","명문제약","1","1","0","1"
"A017250","인터엠","1","0","0","0"
"A017370","우신시스템","1","1","0","1"
"A017390","서울가스","1","1","0","1"
"A017480","삼현철강","1","0","0","0"
"A017510","세명전기","1","0","0","0"
"A017550","수산세보틱스","1","1","0","1"
"A017650","대림제지","1","0","0","0"
"A017670","SK텔레콤","1","1","1","1"
"A017800","현대엘리베이터","1","1","1","1"
"A017810","풀무원","1","1","0","1"
"A017860","DS단석","1","0","0","0"
"A017890","한국알콜","1","0","0","0"
"A017900","광전자","1","1","0","1"
"A017940","E1","1","1","0","1"
"A017960","한국카본","1","1","0","1"
"A018000","유니슨","1","0","0","0"
"A018120","진로발효","1","0","0","0"
"A018250","애경산업","1","1","0","1"
"A018260","삼성에스디에스","1","1","1","1"
"A018290","브이티","1","0","0","0"
"A018310","삼목에스폼","1","0","0","0"
"A018470","조일알미늄","1","1","0","1"
"A018500","동원금속","1","1","0","1"
"A018620","우진비앤지","1","0","0","0"
"A018670","SK가스","1","1","0","1"
"A018680","서울제약","1","0","0","0"
"A018700","졸스","1","0","0","0"
"A018880","한온시스템","1","1","1","1"
"A019010","베뉴지","1","0","0","0"
"A019170","신풍제약","1","1","1","1"
"A019180","티에이치엔","1","1","0","1"
"A019210","와이지-원","1","0","0","0"
"A019490","엑시큐어하이트론","1","1","0","1"
"A019540","일지테크","1","0","0","0"
"A019550","SBI인베스트먼트","1","0","0","0"
"A019570","플루토스","1","0","0","0"
"A019660","글로본","1","0","0","0"
"A019680","대교","1","1","0","1"
"A019770","서연탑메탈","1","0","0","0"
"A019990","에너토크","1","0","0","0"
"A020000","한섬","1","1","1","1"
"A020120","키다리스튜디오","1","1","0","1"
"A020150","롯데에너지머티리얼즈","1","1","1","1"
"A020180","대신정보통신","1","0","0","0"
"A020400","대동금속","1","0","0","0"
"A020560","아시아나항공","1","1","1","1"
"A020710","시공테크","1","0","0","0"
"A020760","일진디스플","1","1","0","1"
"A021040","대호특수강","1","0","0","0"
"A021050","서원","1","1","0","1"
"A021080","에이티넘인베스트","1","0","0","0"
"A021240","코웨이","1","1","1","1"
"A021320","KCC건설","1","0","0","0"
"A021650","한국큐빅","1","0","0","0"
"A021820","세원정공","1","1","0","1"
"A021880","메이슨캐피탈","1","0","0","0"
"A022100","포스코DX","1","0","0","0"
"A022220","티케이지애강","1","0","0","0"
"A023000","삼원강재","1","1","0","1"
"A023150","MH에탄올","1","1","0","1"
"A023160","태광","1","0","0","0"
"A023350","한국종합기술","1","1","0","1"
"A023410","유진기업","1","0","0","0"
"A023440","제이스코홀딩스","1","0","0","0"
"A023450","동남합성","1","1","0","1"
"A023530","롯데쇼핑","1","1","1","1"
"A023590","다우기술","1","1","0","1"
"A023600","삼보판지","1","0","0","0"
"A023760","한국캐피탈","1","0","0","0"
"A023770","플레이위드","1","0","0","0"
"A023790","동일스틸럭스","1","0","0","0"
"A023800","인지컨트롤스","1","1","0","1"
"A023810","인팩","1","1","0","1"
"A023900","풍국주정","1","0","0","0"
"A023910","대한약품","1","0","0","0"
"A023960","에쓰씨엔지니어링","1","1","0","1"
"A024060","흥구석유","1","0","0","0"
"A024070","WISCOM","1","1","0","1"
"A024090","디씨엠","1","1","0","1"
"A024110","기업은행","1","1","1","1"
"A024120","KB오토시스","1","0","0","0"
"A024720","콜마홀딩스","1","1","0","1"
"A024740","한일단조","1","0","0","0"
"A024800","유성티엔에스","1","0","0","0"
"A024830","세원물산","1","0","0","0"
"A024840","KBI메탈","1","0","0","0"
"A024850","HLB이노베이션","1","0","0","0"
"A024880","케이피에프","1","0","0","0"
"A024890","대원화성","1","1","0","1"
"A024900","디와이덕양","1","1","0","1"
"A024910","경창산업","1","0","0","0"
"A024940","PN풍년","1","0","0","0"
"A024950","삼천리자전거","1","0","0","0"
"A025000","KPX케미칼","1","1","0","1"
"A025320","시노펙스","1","0","0","0"
"A025440","DH오토웨어","1","0","0","0"
"A025530","SJM홀딩스","1","1","0","1"
"A025540","한국단자","1","1","0","1"
"A025550","한국선재","1","0","0","0"
"A025560","미래산업","1","1","0","1"
"A025620","차AI헬스케어","1","1","0","1"
"A025750","한솔홈데코","1","1","0","1"
"A025770","한국정보통신","1","0","0","0"
"A025820","이구산업","1","1","0","1"
"A025860","남해화학","1","1","0","1"
"A025870","신라에스지","1","0","0","0"
"A025880","케이씨피드","1","0","0","0"
"A025890","한국주강","1","1","0","1"
"A025900","동화기업","1","0","0","0"
"A025950","동신건설","1","0","0","0"
"A025980","아난티","1","0","0","0"
"A026040","제이에스티나","1","0","0","0"
"A026150","특수건설","1","0","0","0"
"A026890","스틱인베스트먼트","1","1","0","1"
"A026910","광진실업","1","0","0","0"
"A026940","부국철강","1","1","0","1"
"A026960","동서","1","1","1","1"
"A027040","서울전자통신","1","0","0","0"
"A027050","코리아나","1","0","0","0"
"A027360","아주IB투자","1","0","0","0"
"A027410","BGF","1","1","0","1"
"A027580","상보","1","0","0","0"
"A027710","팜스토리","1","0","0","0"
"A027740","마니커","1","1","0","1"
"A027830","대성창투","1","0","0","0"
"A027970","한국제지","1","1","0","1"
"A028050","삼성E&A","1","1","1","1"
"A028080","휴맥스홀딩스","1","0","0","0"
"A028100","동아지질","1","1","0","1"
"A028260","삼성물산","1","1","1","1"
"A028300","HLB","1","0","0","0"
"A028670","팬오션","1","1","1","1"
"A029460","케이씨","1","1","0","1"
"A029480","광무","1","0","0","0"
"A029530","신도리코","1","1","0","1"
"A029780","삼성카드","1","1","1","1"
"A030000","제일기획","1","1","1","1"
"A030190","NICE평가정보","1","0","0","0"
"A030200","KT","1","1","1","1"
