sample,universe,horizon,metric,series,n_pos_rule,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,KOSPI_ALL,20,spread,POS_ALT,>=1,54,2.3161666809482356e-05,-0.000982320522812219,0.48148148148148145,0.006286852150303339
TRAIN_2016_2022,KOSPI_ALL,20,spread,MOM,>=1,54,-0.005276491811812682,-0.007544228617971271,0.42592592592592593,-0.736923609312054
TRAIN_2016_2022,KOSPI_ALL,20,spread,POS_ALT_MINUS_MOM,>=1,54,0.005299653478622163,0.005017150439785845,0.5555555555555556,0.7314137439917895
TRAIN_2016_2022,KOSPI_ALL,5,top,POS_ALT_MINUS_MOM_BY_N,1,15,-0.002827849764274948,-0.0048616651786164,0.3333333333333333,-0.5310745302771216
TRAIN_2016_2022,KOSPI_ALL,20,top,POS_ALT_MINUS_MOM_BY_N,1,15,-0.0012594254769495643,-0.0006093551777084372,0.4666666666666667,-0.1767269438899982
TRAIN_2016_2022,KOSPI_ALL,5,top,POS_ALT_MINUS_MOM_BY_N,2,16,0.002124695406234391,-0.0003948460081611236,0.5,0.44639091804764597
TRAIN_2016_2022,KOSPI_ALL,20,top,POS_ALT_MINUS_MOM_BY_N,2,16,5.105768529058835e-05,-0.0031351563418694495,0.375,0.009022024891123312
TRAIN_2016_2022,KOSPI_ALL,5,top,POS_ALT_MINUS_MOM_BY_N,3,23,0.0007687287095885785,-0.0014257715604748672,0.43478260869565216,0.29218295690649937
TRAIN_2016_2022,KOSPI_ALL,20,top,POS_ALT_MINUS_MOM_BY_N,3,23,0.003883295894347858,0.0018160464419714195,0.6086956521739131,0.9247538861117648
TRAIN_2016_2022,KOSPI_EX_K200,5,top,POS_ALT,>=1,62,0.0005457927920701265,0.0005374996969856997,0.5161290322580645,0.15298886060792635
TRAIN_2016_2022,KOSPI_EX_K200,5,top,MOM,>=1,62,-0.0006309043496597909,0.0016040776462712,0.5161290322580645,-0.12943992740468077
