date,phase,universe,factor,strategy,codes
2016-01-19,1,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A017390|A052790|A067000|A002020|A196170|A009420|A067390|A141000|A044490|A006360|A036930|A182400|A114810|A036030|A054620|A053030
2016-01-19,1,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A036930|A017390|A194480|A196170|A052790|A112040|A213420|A067000|A141000|A002020|A006360|A063080|A044490|A054620|A064760|A060720|A004430|A002320|A036030
2016-01-19,1,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A000990|A139130|A183190|A200880|A043370|A175330|A089470|A023410|A030530|A192440|A006840|A028670|A102260|A018670|A005880|A115160
2016-01-19,1,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A183190|A013120|A011760|A036830|A015750|A175330|A023410|A139130|A102260|A043370|A089470|A030530|A004430|A029460|A000370|A028670|A006840|A192440
2016-01-19,1,KOSPI_ALL,PER12MF,BASE,A011760|A004800|A003300|A003030|A138930|A005850|A000990|A139130|A015760|A183190|A086790|A200880|A006650|A047050|A001430|A175330|A005380|A104700|A089470|A024110
2016-01-19,1,KOSPI_ALL,PER12MF,CF20,A000990|A200880|A183190|A015760|A011760|A005850|A004800|A086790|A006650|A003300|A175330|A139130|A003030|A120110|A102260|A138930|A089470|A104700|A000720|A006840
2016-01-19,1,KOSPI_ALL,PRIVATE_FLOW,BASE,A001520|A192820|A000070|A006060|A012630|A111770|A204320|A009450|A000720|A047810|A192400|A009240|A108670|A060980|A005490|A020000|A093370|A097950|A069960|A000120
2016-01-19,1,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A000070|A008930|A012630|A192820|A000720|A009450|A000990|A204320|A020000|A111770|A009240|A000640|A060980|A192400|A093370|A183190|A097950|A128940
2016-01-20,2,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A017390|A052790|A067000|A002020|A196170|A009420|A067390|A141000|A006360|A036930|A182400|A054620|A114810|A036030|A053030|A002320
2016-01-20,2,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A213420|A036930|A194480|A017390|A052790|A196170|A112040|A002020|A141000|A067000|A006360|A063080|A054620|A064760|A060720|A004430|A002320|A053030|A036030
