universe,factor,strategy,phase,period,return_type,n_days,cagr,sharpe,mdd,calmar,annual_turnover,avg_missing_weight
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,NORMAL_2023_2024,GROSS,489,0.021103521240412704,0.20672999650809934,-0.3070728341054263,0.06872480693999555,14.472649817294133,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,NORMAL_2023_2024,NET30,489,-0.022322369614421245,0.01565885650579219,-0.32093132096805366,-0.06955497377784224,14.472649817294133,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,NORMAL_2023_2024,NET60,489,-0.06397888130608664,-0.1744321113372302,-0.351660273109638,-0.18193377585798493,14.472649817294133,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,BULL_2025,GROSS,242,0.7863151892410412,2.4943865925364013,-0.20557424280618009,3.8249694052498415,15.201633092802123,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,BULL_2025,NET30,242,0.7066065275635216,2.3102898601462165,-0.21141991139391392,3.3421947956783717,15.201633092802123,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,BULL_2025,NET60,242,0.630313586626708,2.12288587749117,-0.21765446477154016,2.8959368570192816,15.201633092802123,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,YTD_2026,GROSS,147,-0.3462741405472317,-0.45185197281114997,-0.5406518196447918,-0.6404753077030866,14.374543200136323,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,YTD_2026,NET30,147,-0.37389188608571344,-0.5250522717287213,-0.54565568720163,-0.6852157777429219,14.374543200136323,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,1,YTD_2026,NET60,147,-0.40039265210902797,-0.5978927227851374,-0.5506141797591828,-0.7271746112389335,14.374543200136323,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,FULL_2016_2026,GROSS,2597,0.13642618337453016,0.6063448374489768,-0.4809123621497118,0.2836820055211216,13.919590105321562,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,FULL_2016_2026,NET30,2597,0.0899065069689553,0.45314767104972803,-0.4896126060637588,0.1836278434327065,13.919590105321562,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,FULL_2016_2026,NET60,2597,0.045212055047720856,0.2998334558045729,-0.5149071018885876,0.08780623705109347,13.919590105321562,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,PRE_STRESS_2016_2024,GROSS,2208,0.08950743440278797,0.47424444208468125,-0.4809123621497118,0.1861200531479031,13.794853273296967,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,PRE_STRESS_2016_2024,NET30,2208,0.045300158713750704,0.3048685683689354,-0.4896126060637588,0.09252245173575369,13.794853273296967,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,PRE_STRESS_2016_2024,NET60,2208,0.0028120885819358232,0.13559940176401095,-0.5050831329926315,0.005567575708327698,13.794853273296967,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,EARLY_2016_2019,GROSS,977,0.08531137005777678,0.5106252263246077,-0.21475993529750337,0.39724062097335033,13.313840658809678,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,EARLY_2016_2019,NET30,977,0.04278002432511463,0.31020202179850187,-0.2310158033099834,0.1851822417001975,13.313840658809678,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,EARLY_2016_2019,NET60,977,0.0018447832118810847,0.10946305740652677,-0.25673275356216096,0.007185616896499417,13.313840658809678,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,LATE_2020_2022,GROSS,742,0.1482248341957897,0.6101889880866533,-0.48091236214971167,0.3082158951647955,14.061734692315454,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,LATE_2020_2022,NET30,742,0.10075248424825678,0.47063147824380525,-0.48374068044600627,0.2082778817679,14.061734692315454,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,LATE_2020_2022,NET60,742,0.055162648026201966,0.3311695481741582,-0.4865587939663538,0.11337303674346196,14.061734692315454,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,NORMAL_2023_2024,GROSS,489,0.013881252454929216,0.17524036524387127,-0.303530954176894,0.0457325760813159,14.35093366479465,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,NORMAL_2023_2024,NET30,489,-0.028881337750381375,-0.01406594237735402,-0.317154231747534,-0.09106401510471392,14.35093366479465,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,NORMAL_2023_2024,NET60,489,-0.06991418453601761,-0.2026251721191327,-0.33053396703608495,-0.21151891033451628,14.35093366479465,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,BULL_2025,GROSS,242,0.9947218009657215,3.0553363309058974,-0.17716660866147937,5.614612191772455,14.730674692342811,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,BULL_2025,NET30,242,0.9084103595556448,2.8519093490160925,-0.1830972438270403,4.961354636303314,14.730674692342811,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,BULL_2025,NET60,242,0.8256800318903088,2.6473333021904017,-0.1889959165857822,4.3687718063239,14.730674692342811,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,2,YTD_2026,GROSS,147,-0.15212504509070746,-0.002837547551189236,-0.46625285074036305,-0.3262715602685282,14.457933336962112,0.0
