sample,return_type,horizon,breadth_transition,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
TRAIN_2016_2022,NET60,20,NON_HIGH,174,0.01588641373781131,0.01979864324936561,0.6149425287356322,0.05517206148310419
YTD_2026,GROSS,5,HIGH_ENTRY,4,0.007789208030632846,0.01670322414252715,0.75,0.04121743298857465
YTD_2026,GROSS,5,HIGH_PERSIST,15,-0.022477045110473718,-0.029593074342079806,0.26666666666666666,0.05655846066897562
YTD_2026,GROSS,5,NON_HIGH,9,0.036436810420732976,0.022158091190007667,0.6666666666666666,0.04455341430981934
YTD_2026,GROSS,10,HIGH_ENTRY,4,0.02038349214027511,0.007783461318476164,0.5,0.0656715324744653
YTD_2026,GROSS,10,HIGH_PERSIST,14,-0.052874154734646794,-0.04064693596371145,0.14285714285714285,0.06559141022559012
YTD_2026,GROSS,10,NON_HIGH,9,0.06900342390524589,0.08951922290048989,0.7777777777777778,0.09149068637207919
YTD_2026,GROSS,20,HIGH_ENTRY,4,-0.03380752927634792,-0.04464179896203951,0.5,0.12840062647033945
YTD_2026,GROSS,20,HIGH_PERSIST,12,-0.07613161713606291,-0.07864733737026738,0.16666666666666666,0.09264297576361824
YTD_2026,GROSS,20,NON_HIGH,9,0.11536883582582164,0.15972090428125682,0.8888888888888888,0.15155808646188587
YTD_2026,NET30,5,HIGH_ENTRY,4,0.006782064316973289,0.015698035622504318,0.75,0.04065240936949234
YTD_2026,NET30,5,HIGH_PERSIST,15,-0.02334992068006018,-0.03051448882285185,0.26666666666666666,0.05690730466468056
YTD_2026,NET30,5,NON_HIGH,9,0.035469865463302386,0.020619349494951145,0.6666666666666666,0.044199562859602165
YTD_2026,NET30,10,HIGH_ENTRY,4,0.01836755162571977,0.005803851391407299,0.5,0.06550167173529561
YTD_2026,NET30,10,HIGH_PERSIST,14,-0.054549635387403074,-0.042304310736469994,0.14285714285714285,0.06672961346880803
YTD_2026,NET30,10,NON_HIGH,9,0.06702120677585668,0.08740741545460615,0.7777777777777778,0.09029510079190863
YTD_2026,NET30,20,HIGH_ENTRY,4,-0.03752643459357964,-0.048343511510742794,0.5,0.12773099119953302
YTD_2026,NET30,20,HIGH_PERSIST,12,-0.07939687231495245,-0.08193776459505436,0.16666666666666666,0.0947013340617427
YTD_2026,NET30,20,NON_HIGH,9,0.11103649569756456,0.15609083035409357,0.8888888888888888,0.14792998886038083
YTD_2026,NET60,5,HIGH_ENTRY,4,0.005774920603313603,0.014692847102481326,0.75,0.04008738575040994
YTD_2026,NET60,5,HIGH_PERSIST,15,-0.024222796249646694,-0.03143590330362404,0.26666666666666666,0.05725614866038549
YTD_2026,NET60,5,NON_HIGH,9,0.03450292050587159,0.019080607799894532,0.6666666666666666,0.04384571140938488
YTD_2026,NET60,10,HIGH_ENTRY,4,0.016351611111164087,0.0038242414643379964,0.5,0.06533181099612584
YTD_2026,NET60,10,HIGH_PERSIST,14,-0.056225116040159485,-0.043961685509228646,0.14285714285714285,0.06786781671202599
YTD_2026,NET60,10,NON_HIGH,9,0.06503898964646707,0.08529560800872205,0.7777777777777778,0.0890995152117378
YTD_2026,NET60,20,HIGH_ENTRY,4,-0.041238161336009306,-0.05203805512957327,0.5,0.12706303153245027
YTD_2026,NET60,20,HIGH_PERSIST,12,-0.08265640904116882,-0.08522241175268734,0.16666666666666666,0.0967560173182251
YTD_2026,NET60,20,NON_HIGH,9,0.10671194343441326,0.15246515946928776,0.8888888888888888,0.1443083458871074
