sample,return_type,horizon,high_revision_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
YTD_2026,NET30,5,HIGH|N+,4,-0.017169687294208997,-0.010767567175876609,0.25,0.02552417880088902
YTD_2026,NET30,5,HIGH|N-,1,-0.05945888165030537,-0.05945888165030537,0.0,0.05945888165030537
YTD_2026,NET30,5,HIGH|R+,1,0.0634728761279226,0.0634728761279226,1.0,0.0634728761279226
YTD_2026,NET30,5,HIGH|R-,6,-0.0033228881655133122,-0.03827924929512004,0.3333333333333333,0.07776108608860062
YTD_2026,NET30,5,HIGH|W+,5,-0.008057449813751073,0.0021751329310610522,0.6,0.025278599552566873
YTD_2026,NET30,5,HIGH|W-,2,-0.09911561008597777,-0.09911561008597777,0.0,0.09911561008597777
YTD_2026,NET30,5,NON_HIGH,9,0.035469865463302386,0.020619349494951145,0.6666666666666666,0.044199562859602165
YTD_2026,NET30,10,HIGH|N+,4,-0.033059718000207516,-0.03229960966041073,0.25,0.03932952693155764
YTD_2026,NET30,10,HIGH|N-,1,-0.08982148592833075,-0.08982148592833075,0.0,0.08982148592833075
YTD_2026,NET30,10,HIGH|R+,1,0.1539596074834948,0.1539596074834948,1.0,0.1539596074834948
YTD_2026,NET30,10,HIGH|R-,5,-0.05264653995852091,-0.07524190107470186,0.2,0.0817346314413747
YTD_2026,NET30,10,HIGH|W+,5,-0.03275056566665754,-0.014267136964788086,0.2,0.038262101362071935
YTD_2026,NET30,10,HIGH|W-,2,-0.09756920517460282,-0.09756920517460282,0.0,0.09756920517460282
YTD_2026,NET30,10,NON_HIGH,9,0.06702120677585668,0.08740741545460615,0.7777777777777778,0.09029510079190863
YTD_2026,NET30,20,HIGH|N+,4,-0.010171158357887206,-0.029585778827769985,0.5,0.05608454359825804
YTD_2026,NET30,20,HIGH|N-,1,-0.1736212082428742,-0.1736212082428742,0.0,0.1736212082428742
YTD_2026,NET30,20,HIGH|R+,1,0.16983435055938717,0.16983435055938717,1.0,0.16983435055938717
YTD_2026,NET30,20,HIGH|R-,3,-0.11763193241628878,-0.0976009930760253,0.0,0.11763193241628878
YTD_2026,NET30,20,HIGH|W+,5,-0.09599539715424465,-0.1072617856740052,0.2,0.1002253022152525
YTD_2026,NET30,20,HIGH|W-,2,-0.11276196600931124,-0.11276196600931124,0.0,0.11276196600931124
YTD_2026,NET30,20,NON_HIGH,9,0.11103649569756456,0.15609083035409357,0.8888888888888888,0.14792998886038083
YTD_2026,NET60,5,HIGH|N+,4,-0.018073669678142036,-0.011682012951982006,0.25,0.025877645159910912
YTD_2026,NET60,5,HIGH|N-,1,-0.06032275987121889,-0.06032275987121889,0.0,0.06032275987121889
YTD_2026,NET60,5,HIGH|R+,1,0.06233891850248443,0.06233891850248443,1.0,0.06233891850248443
YTD_2026,NET60,5,HIGH|R-,6,-0.0041782569059096095,-0.03913299047638456,0.3333333333333333,0.07801499750199781
YTD_2026,NET60,5,HIGH|W+,5,-0.009027631848487977,0.001246011541405878,0.6,0.025034697661968464
YTD_2026,NET60,5,HIGH|W-,2,-0.09987802028612296,-0.09987802028612296,0.0,0.09987802028612296
YTD_2026,NET60,5,NON_HIGH,9,0.03450292050587159,0.019080607799894532,0.6666666666666666,0.04384571140938488
YTD_2026,NET60,10,HIGH|N+,4,-0.03476793604251323,-0.03392972513328438,0.25,0.040009258881489804
YTD_2026,NET60,10,HIGH|N-,1,-0.09164781036692163,-0.09164781036692163,0.0,0.09164781036692163
YTD_2026,NET60,10,HIGH|R+,1,0.151561007042319,0.151561007042319,1.0,0.151561007042319
YTD_2026,NET60,10,HIGH|R-,5,-0.05429142662187875,-0.07688607223343177,0.2,0.08269793023192372
YTD_2026,NET60,10,HIGH|W+,5,-0.034633849838211876,-0.016271429858210517,0.2,0.03935618470711622
