date,sample,return_type,horizon,factor_breadth_20d,breadth_bin,breadth_group,breadth_transition,breadth_delta,base_state,factor_substate,REVISION_state,high_base_cell,high_revision_cell,high_factor_substate_cell,fwd_mean_across_phases,fwd_median_across_phases
2016-04-18,TRAIN_2016_2022,NET30,10,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.017278118122447485,-0.018988222164675606
2016-04-18,TRAIN_2016_2022,NET30,20,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.004561180418831546,-0.0035934194080630144
2016-04-18,TRAIN_2016_2022,NET60,5,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,0.007633053267161372,0.008138231595767875
2016-04-18,TRAIN_2016_2022,NET60,10,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.01879788812784382,-0.020635588896675106
2016-04-18,TRAIN_2016_2022,NET60,20,0.5,LOW,NON_HIGH,NON_HIGH,-0.25,B4,F_HIGH,N+,NON_HIGH,NON_HIGH,NON_HIGH,-0.007925029436015207,-0.0071758258810486475
2016-04-25,TRAIN_2016_2022,GROSS,5,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.02442495577944446,-0.02723448488153274
2016-04-25,TRAIN_2016_2022,GROSS,10,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.0018354240977948577,-0.0016510845345542036
2016-04-25,TRAIN_2016_2022,GROSS,20,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.01605134978926457,-0.017424331119385017
2016-04-25,TRAIN_2016_2022,NET30,5,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.02533024927540505,-0.028193357646324524
2016-04-25,TRAIN_2016_2022,NET30,10,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.003639341616643743,-0.0032785080204660866
2016-04-25,TRAIN_2016_2022,NET30,20,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.019614313331080945,-0.020855327314712235
2016-04-25,TRAIN_2016_2022,NET60,5,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.026235542771365826,-0.02864138019338358
2016-04-25,TRAIN_2016_2022,NET60,10,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.005443259135492784,-0.005018149670998395
