universe,factor,family,overlay,sample,n,ann_return,sharpe,mdd,hit_rate,avg_turnover,mean_delta_vs_base,beat_base_rate,median_delta_vs_base
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W20,BULL_2025,25,0.9629460173662945,3.322549602585433,-0.12950142588374125,0.8,0.524,0.002065744392488401,0.56,0.0008908373192440117
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.07783013685486928,0.4574783932043191,-0.29352019933398854,0.5306122448979592,0.46632653061224494,0.00015758267569265786,0.5408163265306123,0.00014999999999999823
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W20,LATE_2020_2022,75,0.07562598945761745,0.4016849893875854,-0.3655116305327304,0.6,0.52,0.00029796505932140475,0.5066666666666667,1.3877787807814457e-17
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.08335103074236327,0.4534328839182503,-0.31107195251790865,0.5416666666666666,0.5156250000000001,0.0010789452270352337,0.5,1.4224843419334554e-05
KOSDAQ,OPFY1_REV,REVISION,CROSS_FAMILY_W20,YTD_2026,13,-0.1094780785569136,0.00909479900416363,-0.36699935960828634,0.6153846153846154,0.5615384615384615,0.00847787115013191,0.6153846153846154,0.007916311620996652
KOSDAQ,OPFY1_REV,REVISION,FOUR_FAMILY_EW,BULL_2025,25,1.072139972409488,2.490180947569772,-0.14091260011466478,0.72,0.638,0.005206885877511174,0.6,0.019102399620190814
KOSDAQ,OPFY1_REV,REVISION,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.07593004756933386,-0.16525435531200908,-0.4579709271641019,0.5306122448979592,0.5520408163265307,-0.005450067176346878,0.40816326530612246,-0.006166656782462002
KOSDAQ,OPFY1_REV,REVISION,FOUR_FAMILY_EW,LATE_2020_2022,75,0.011433691592030115,0.18962476410694232,-0.3663059412022214,0.52,0.622,-0.0018603202046947372,0.4666666666666667,-0.0014459443986720305
KOSDAQ,OPFY1_REV,REVISION,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.084025301510401,-0.1455310226446565,-0.45606133739140287,0.4791666666666667,0.6395833333333333,-0.004907279506205411,0.375,-0.01253969539529656
KOSDAQ,OPFY1_REV,REVISION,FOUR_FAMILY_EW,YTD_2026,13,-0.26584087082364616,-0.18293159384350158,-0.43010359924641584,0.5384615384615384,0.6769230769230768,0.003661672159448696,0.5384615384615384,0.0062585322359106355
KOSDAQ,OPFY1_REV,REVISION,SIBLING_W20,BULL_2025,25,0.7775652323739388,2.7682056762951985,-0.1473518829139413,0.76,0.502,-0.0019109719612304863,0.4,-0.003862041508947256
KOSDAQ,OPFY1_REV,REVISION,SIBLING_W20,EARLY_2016_2019,98,0.05341589349111042,0.34721592027231846,-0.32271585845246875,0.5306122448979592,0.4673469387755102,-0.0007011997206205361,0.40816326530612246,-0.0004178251997643597
KOSDAQ,OPFY1_REV,REVISION,SIBLING_W20,LATE_2020_2022,75,0.0496725904340356,0.3144325899913709,-0.37808861900851976,0.6133333333333333,0.518,-0.0007153924179694855,0.4266666666666667,-0.002254487024910705
KOSDAQ,OPFY1_REV,REVISION,SIBLING_W20,NORMAL_2023_2024,48,0.13117774562553208,0.65398811706726,-0.314720242287269,0.5416666666666666,0.5177083333333333,0.002721548774777745,0.5625,0.002349649744248356
KOSDAQ,OPFY1_REV,REVISION,SIBLING_W20,YTD_2026,13,-0.3272784358709734,-0.5321188871977997,-0.39856336100223977,0.5384615384615384,0.5307692307692308,-0.0024613138544359366,0.3076923076923077,-0.0011912950711812226
KOSDAQ,PBR12MF,VALUE,BASE,BULL_2025,25,0.3140219042135073,1.4145911306522772,-0.06144025665936659,0.48,0.124,0.0,0.0,0.0
KOSDAQ,PBR12MF,VALUE,BASE,EARLY_2016_2019,98,-0.00951354531123294,0.05184000578876453,-0.27191348331966025,0.5102040816326531,0.1510204081632653,0.0,0.0,0.0
KOSDAQ,PBR12MF,VALUE,BASE,LATE_2020_2022,75,0.1144781865706237,0.5376601900735968,-0.32665286856806874,0.5866666666666667,0.15,0.0,0.0,0.0
KOSDAQ,PBR12MF,VALUE,BASE,NORMAL_2023_2024,48,-0.09610743259639198,-0.5388149241176347,-0.2261545368169522,0.5416666666666666,0.12812500000000002,0.0,0.0,0.0
KOSDAQ,PBR12MF,VALUE,BASE,YTD_2026,13,-0.16248258510600222,-0.29778609422170227,-0.30610257012172337,0.38461538461538464,0.14615384615384616,0.0,0.0,0.0
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W10,BULL_2025,25,0.33743502721648966,1.5296478685100363,-0.05555499383002083,0.56,0.146,0.0006737737691418412,0.52,1.3877787807814457e-17
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W10,EARLY_2016_2019,98,-0.005677071575965753,0.07301632917897842,-0.2766387984822173,0.4897959183673469,0.15510204081632653,0.0001753942106937484,0.37755102040816324,-3.469446951953614e-18
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W10,LATE_2020_2022,75,0.11904727772680901,0.5538073090135879,-0.3198910250298821,0.6,0.15733333333333335,0.00014332422033702872,0.4533333333333333,0.0
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W10,NORMAL_2023_2024,48,-0.09168481358261493,-0.5223536287110394,-0.21629461909832914,0.5416666666666666,0.12916666666666668,0.00017221338192646569,0.3333333333333333,0.0
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W10,YTD_2026,13,-0.1848685766725635,-0.3613203484258147,-0.32344906706637644,0.38461538461538464,0.16538461538461535,-0.0009977138723979485,0.38461538461538464,-0.0005594738612643424
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W20,BULL_2025,25,0.27973270758640534,1.4015089773104163,-0.059384596153515545,0.6,0.17800000000000002,-0.0012006106510573133,0.52,0.000677422432963426
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W20,EARLY_2016_2019,98,-0.005904585508849758,0.07483564424799408,-0.30524099000935545,0.5102040816326531,0.1719387755102041,0.00020352002621959185,0.47959183673469385,-6.938893903907228e-18
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W20,LATE_2020_2022,75,0.15114506670807626,0.6606351043136757,-0.3156724437979188,0.6,0.19133333333333333,0.0012519479421281576,0.56,0.0011377118522165296
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W20,NORMAL_2023_2024,48,-0.14493412837511377,-0.9086091546799878,-0.299175948997098,0.4791666666666667,0.15833333333333333,-0.0022225237517557637,0.375,-0.0015800244745881116
KOSDAQ,PBR12MF,VALUE,CROSS_FAMILY_W20,YTD_2026,13,-0.1635882397645494,-0.28358824057634213,-0.32502133409137923,0.46153846153846156,0.21923076923076928,0.00010418976409143247,0.5384615384615384,0.00038628324182053003
KOSDAQ,PBR12MF,VALUE,FOUR_FAMILY_EW,BULL_2025,25,1.072139972409488,2.490180947569772,-0.14091260011466478,0.72,0.638,0.01942171541782911,0.6,0.006250001197766596
KOSDAQ,PBR12MF,VALUE,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.07593004756933386,-0.16525435531200908,-0.4579709271641019,0.5306122448979592,0.5520408163265307,-0.002135335325276324,0.47959183673469385,-0.0030075680434179554
KOSDAQ,PBR12MF,VALUE,FOUR_FAMILY_EW,LATE_2020_2022,75,0.011433691592030115,0.18962476410694232,-0.3663059412022214,0.52,0.622,-0.003555398468420116,0.4533333333333333,-0.0060984930390130775
