universe,overlay,sample,metric,n_dates,mean,ci025,ci975,p_gt0
KOSPI_ALL,CROSS_FAMILY_W20,LATE_2020_2022,net_delta,75,0.0005712585720929204,-0.0012554236588453696,0.002265026501425634,0.7374
KOSPI_ALL,CROSS_FAMILY_W20,LATE_2020_2022,gross_delta,75,0.0007175085720929193,-0.0011543500167587365,0.0025281569088143906,0.7834
KOSPI_ALL,CROSS_FAMILY_W20,NORMAL_2023_2024,net_delta,48,0.0004050812713474669,-0.002331293641144425,0.003120294471848974,0.6224
KOSPI_ALL,CROSS_FAMILY_W20,NORMAL_2023_2024,gross_delta,48,0.000575003146347467,-0.00226628410000089,0.003265574424441229,0.6748
KOSPI_ALL,CROSS_FAMILY_W20,YTD_2026,net_delta,13,0.0017615384422021189,-0.0037327242003645394,0.007673777936058066,0.7182
KOSPI_ALL,CROSS_FAMILY_W20,YTD_2026,gross_delta,13,0.001914423057586737,-0.0036671846717661566,0.0075838799026898265,0.7342
KOSPI_ALL,FOUR_FAMILY_EW,BULL_2025,net_delta,25,0.009369880310712068,-0.0023379485181813943,0.022189144020090163,0.9354
KOSPI_ALL,FOUR_FAMILY_EW,BULL_2025,gross_delta,25,0.009833380310712068,-0.0015337938317107462,0.02301206991553925,0.9538
KOSPI_ALL,FOUR_FAMILY_EW,EARLY_2016_2019,net_delta,98,-0.0008461107223969102,-0.004275730279007207,0.0025027834242655708,0.3066
KOSPI_ALL,FOUR_FAMILY_EW,EARLY_2016_2019,gross_delta,98,-0.00033833011015201194,-0.0037406086082444694,0.0031432971604106325,0.4186
KOSPI_ALL,FOUR_FAMILY_EW,LATE_2020_2022,net_delta,75,-0.0044937096124880935,-0.008410203097811304,-0.00044314306413701575,0.0174
KOSPI_ALL,FOUR_FAMILY_EW,LATE_2020_2022,gross_delta,75,-0.003830959612488097,-0.0076698536493751725,0.00015870327821878604,0.0292
KOSPI_ALL,FOUR_FAMILY_EW,NORMAL_2023_2024,net_delta,48,-0.0011217295218216097,-0.009559702585346988,0.007431803425674868,0.419
KOSPI_ALL,FOUR_FAMILY_EW,NORMAL_2023_2024,gross_delta,48,-0.0005162607718216088,-0.009078460872170763,0.00809125917487025,0.453
KOSPI_ALL,FOUR_FAMILY_EW,YTD_2026,net_delta,13,-0.0033649232007603555,-0.02498907586410059,0.022725011715981083,0.3848
KOSPI_ALL,FOUR_FAMILY_EW,YTD_2026,gross_delta,13,-0.0027043462776834334,-0.024406648407993323,0.02247660121720582,0.4014
KOSPI_ALL,SIBLING_W20,BULL_2025,net_delta,25,0.0021698575242530033,-0.00054782891733084,0.005266712768748588,0.9394
KOSPI_ALL,SIBLING_W20,BULL_2025,gross_delta,25,0.002312357524253004,-0.00035455281856106404,0.005279727545920447,0.9514
KOSPI_ALL,SIBLING_W20,EARLY_2016_2019,net_delta,98,-0.0004994780019310902,-0.0016612870447070597,0.0006377302983262427,0.1902
KOSPI_ALL,SIBLING_W20,EARLY_2016_2019,gross_delta,98,-0.00036535810397190556,-0.001523360280050182,0.0008001734961177486,0.269
KOSPI_ALL,SIBLING_W20,LATE_2020_2022,net_delta,75,0.0015347284236669099,0.0001747685535189936,0.002962224837570244,0.9888
KOSPI_ALL,SIBLING_W20,LATE_2020_2022,gross_delta,75,0.0016899784236669095,0.00039104445314890214,0.003116243344320967,0.9962
KOSPI_ALL,SIBLING_W20,NORMAL_2023_2024,net_delta,48,0.001167824120109376,-0.0009898720031341602,0.0035601826242770817,0.837
KOSPI_ALL,SIBLING_W20,NORMAL_2023_2024,gross_delta,48,0.001311574120109376,-0.0007605103711766635,0.0037339481016226066,0.8746
KOSPI_ALL,SIBLING_W20,YTD_2026,net_delta,13,0.0006875250838305661,-0.0032735379817161697,0.0042914016722638325,0.6476
KOSPI_ALL,SIBLING_W20,YTD_2026,gross_delta,13,0.0008346404684459488,-0.0032065595645384757,0.004458871424849313,0.672
KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,net_delta,25,0.0004066691470754791,-0.0003171903831741444,0.001071018669333545,0.8676
KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,gross_delta,25,0.00041566914707547855,-0.00031941084999204415,0.0011070414473988556,0.875
KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,net_delta,98,-1.1134922177882578e-05,-0.00035539110199086973,0.00034460572004823767,0.476
KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,gross_delta,98,-1.0178289524820298e-05,-0.0003506545256467836,0.00035860004362644413,0.4536
KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,net_delta,75,0.0001021915086361639,-0.00039030476999201113,0.000616789933477857,0.6538
KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,gross_delta,75,0.00011269150863616244,-0.0003708444738846426,0.0006187856666551859,0.6688
KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,net_delta,48,8.376325565450705e-05,-0.0007808425866478566,0.0008239176763258139,0.599
KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,gross_delta,48,0.00010641950565450885,-0.0006886068112386356,0.0008178185630210245,0.6072
KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,net_delta,13,0.0018809743709557389,-0.0014306685603173084,0.0054665218381850745,0.849
KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,gross_delta,13,0.0019040512940326584,-0.0014434511653398736,0.005448898259780223,0.8426
KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,net_delta,25,0.0010679351931579656,-0.0004423012576288017,0.0024350973331311856,0.9244
KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,gross_delta,25,0.0011039351931579654,-0.00038851381218581513,0.0024814505199812708,0.9306
KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,net_delta,98,0.00035710313171601364,-0.0002480765763810589,0.0010268202737338105,0.873
KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,gross_delta,98,0.00037738374396091166,-0.00024246679367232918,0.00105414111770773,0.879
KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,net_delta,75,-3.1718060940329846e-05,-0.0009927662291703897,0.0009395479396903778,0.4742
KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,gross_delta,75,2.8281939059668417e-05,-0.0009263111640847004,0.0009979691225659394,0.5042
KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,net_delta,48,0.0008957521015644909,-0.00023535018785718313,0.0020823021554600787,0.9366
KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,gross_delta,48,0.0009633302265644931,-0.0001390667865619206,0.0021642303403594065,0.954
KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,net_delta,13,0.001884941368601087,-0.002729556155773487,0.005620571811349117,0.7948
KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,gross_delta,13,0.0019844605993703194,-0.0023547110935676382,0.005765296440052709,0.808
KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,net_delta,25,0.001312254304940747,-0.01020554205416449,0.012844096307010939,0.5782
